Migrant remittance inflows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Ethiopia,5.217391304,9.758454106,15.01913043,18.38,24.62566991,27.35966944,16.01221036,9.232460373,27.31323647,33.72964661,53.15888238,18.31371817,32.98689442,46.47019246,133.7428062,173.5194057,172.153314,357.838225,386.6962658,261.6019515,436.1438763,538.3398947,624.3606699,833.031317,1796.377787,1086.986751,772.2359466,393.37917,436.3254631,479.6241653,404.0883199,436.4153855,327.3115391,0.294395211
Fiji,21.33825524,19.1114206,22.55502778,25.94412285,29.57397763,32.70917279,33.34996081,34.63383379,25.87052991,23.20238624,43.30133311,77.58487231,99.40191941,123.6784406,172.6452099,203.3,204.5797362,183.2124787,146.6773399,171.0572095,175.6311331,160.5566545,190.6078583,203.5700689,220.9677344,252.3574214,272.292584,278.6839593,291.9438747,295.2262773,355.4034885,483.750448,450,9.261164849
Finland,62.88360124,101.1853136,103.1131524,77.05112485,66.89375048,74.25886347,145.4605706,235.2539743,375.4119757,443.569219,472.7284152,490.7180397,477.1525474,526.3819393,666.9138668,692.3,714.7988892,805.950015,959.188912,865.768666,893.8152262,756.0663203,862.1229796,1073.207239,1068.529689,865.4198807,860.9645175,908.3031159,841.0533465,797.1765783,812.7271577,842.4769025,880.2798462,0.312809324
France,3839.266956,4429.12242,4960.62908,4769.841215,3748.573694,4434.302326,4334.903528,9741.087205,10021.05478,9445.4,8869.551607,9194.240138,10599.31944,12231.75597,13342.61414,14205.07647,15535.23765,17586.41627,20085.69612,19665.37019,19898.25827,22942.28025,22666.36676,24412.28215,25358.37473,24066.98984,24042.34885,24884.54786,26229.27471,30024.72508,28823.15746,32077.31222,28520,1.02660461
Gabon,0,0,0,0,0,4.471615824,5.727663142,6.145602579,5.563166587,4.247204299,6.050763424,5.363974692,2.846533112,5.989329181,6.852364361,11.02815417,0,14.40951105,20.65406756,13.84623003,38.42899866,21.79219845,22.58645856,16.52700061,29.46715085,18.45804225,14,14,14,14,14,14,4.229600276,0.019034248
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,54.06983927,60.74874917,59.30408754,63.77351734,55.66254037,64.81155897,79.80115313,115.699061,91.35895377,106.3494531,109.829222,137.7712094,154,145.6787947,160.1673453,212.0347361,275.8251075,416.4188807,547.0514238,615.4328518,28.33484585
Georgia,0,0,0,0,0,0,0,284,372.9,360.8,205.9,218.6387537,226.3289293,248.4536953,358.5901355,446.0053986,627.3487795,883.065426,1065.021296,1111.619713,1183.93575,1547.27444,1770.115175,1945.284852,1986.474924,1458.741311,1520.785231,1793.945161,2034.288456,2258.211425,2109.658757,2643.926172,4100,16.28793898
Germany,4858.033721,4808.5,4906.857049,4381.61185,4393.596892,4506.567694,4329.127024,3830.95504,3908.264176,3755.066569,3603.502764,3883.047671,4653.643268,5748.398267,6515.541641,6863.864315,7484.148242,9767.490709,10973.68879,12344.79166,12788.81279,15337.12363,14637.03044,16395.71592,17075.37809,15578.0829,15197.53678,15688.31435,18903.42095,18729.70272,19359.31836,20411.77759,18000,0.446522815
Ghana,6,6.2,7.3,10.1,15.7,17.2096,27.5,26,29.5,30.7,32.3968,45.90912,43.52,65.100096,82.3712,99.184576,105.253248,117.363712,126.104704,114.45568,135.85216,2134.6,2155.495,1863.99,2007.83148,4982.442362,2979.934204,3536.41,3520.566623,4053.694729,4291.956801,4506.554641,4664.284053,6.137538888
Greece,1817,2173,2531,2655,2886,3286,3079,3062,0,2283.960003,2193.819906,2014.591009,1660.39778,1565.054104,1242.683995,1219.664384,1543.110071,2483.241141,2686.826465,2022.1,1498.782297,1186.959012,680.9819133,804.7148127,734.9256031,509.3363162,417.1643664,400.8701862,489.6995914,676.3275048,611.3819796,688.8662616,664.5011597,0.299314061
Grenada,9.951851852,0.077777778,0.077777778,10.18888889,13.5962963,19.85185185,20.95925926,21.52222222,22.06296296,23.15185185,24.23333333,24.31111111,24.75555556,25.27834815,48.11111111,26.83611111,28.44318889,28.62493556,28.85032444,27.65259519,28.47510222,28.94881296,29.29435296,29.64588519,41,43.35471542,45.0701311,47.27275303,47.99359979,63.3653623,70.43071467,73.96577737,69.44612885,5.826017521
Guatemala,118.7,178.9,230.6,240.8,284.5,357.5,375.4,408,456.5,465.6,596.2,633.7536285,1600.192057,2146.9599,2627.5,3066.6,3700.1,4236.2,4425.6,4002.15502,4224.67996,4533.04895,4965.27417,5303.72762,5751.44299,6481.89646,7362.67402,8393.8821,9437.6745,10655.60136,11405.4392,15395.39025,18112,19.83398673
Guinea,0,0,0,0,0.49,0.74,1.072,1.48,4.98,6.015879,1.166455048,8.715870258,15.19,111.0460171,41.64,41.57,29.5,15.07,61.52,52,46.26,64.5,66.3,93.01,121.4258532,130.5823084,52.17078086,44.66,28.43,158.13,22.53,343.91,40.58138,0.205527374
Guinea-Bissau,1,0,0,0,0,0,2,2,0,0,0,10.02812257,17.63157531,23.12627794,27.69907395,19.89883208,25.51970243,43,49.46055225,48.85041382,45.89027797,52.11012036,45.63518442,63.78768442,92.4196765,84.952814,56.43126,105.1795575,127.9835328,151.1852449,174.9384092,178,178.0031649,10.96078602
Guyana,0,0,0,0,0,0,14.6,15,14,20.5,27.3,22.3,51,99.3,153.009,201.289,218.076,278.496,273.8960143,262.0658459,367.8054063,412.2,469.2584055,328.1526585,329.6581049,302.8,269.1739929,322.3406175,333.692746,380.358401,438.3815059,392.6285,400.48107,2.698841364
Haiti,0,0,0,0,0,0,0,0,327.3,422.05,578,623.58,675.66,811,931.54,986.154,1062.869,1222.089,1369.753973,1375.546872,1473.804721,1551.366394,1612.32605,1780.995274,1977.033926,2195.560227,2358.626245,2614.165424,2966.237967,3026.149514,3455.27784,4196.393883,4532.105394,22.45617577
Honduras,62.9,82.6,112,63.8,89,124,157.3,190,225,328.3,474.49824,610.44153,801.39897,865.3890508,1169.10406,1805.19492,2358.4689,2613.644663,2821.344123,2477.339131,2617.906839,2810.592536,2920.369783,3098.239342,3369.514367,3666.201327,3863.739159,4322.761614,4776.545983,5401.465665,5588.646521,7203.426673,8283.940674,27.10004146
"Hong Kong SAR, China",0,0,0,0,0,0,0,0,153.6,130.4545601,135.5382065,152.8450078,120.5295608,119.6911179,239.8565675,296.7611893,294.0336324,316.8666901,355.347245,347.7924469,339.5693689,351.6385093,366.8152673,360.2375414,372.4490601,386.7505526,399.4928892,436.8984386,424.5738146,451.2467221,426.5725796,460.8251504,570.9174805,0.15498353
